Indice,Time,PSolStatus,X,Y,Z,stdX,stdY,stdZ,VSolStatus,VX,VY,VZ,stdVX,stdVY,stdVZ,VLatency,SolAge,SolSatNumber
   57,2016-05-31 14:41:25.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   58,2016-05-31 14:41:25.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   59,2016-05-31 14:41:25.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   60,2016-05-31 14:41:26.02,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   61,2016-05-31 14:41:26.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   62,2016-05-31 14:41:26.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   63,2016-05-31 14:41:26.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   64,2016-05-31 14:41:26.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   65,2016-05-31 14:41:26.52,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   66,2016-05-31 14:41:26.62,6,4918522.71826,-791240.948974,3969688.80872,9.69481277466,3.48408341408,4.89418125153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,5
   67,2016-05-31 14:41:26.72,0,4918518.01922,-791242.627837,3969689.51749,9.71088695526,3.4925570488,4.90312767029,0,-0.0744074443483,0.0444766789547,-0.0396608037145,1.16067302227,0.417440414429,0.586035847664,0.15000000596,0.0,5
   68,2016-05-31 14:41:26.82,0,4918518.47932,-791239.77897,3969689.51654,9.71090316772,3.49241280556,4.9028840065,0,-0.0846561110411,0.00615673902894,-0.00994660737251,1.16067492962,0.417423158884,0.586006760597,0.15000000596,0.0,5
   69,2016-05-31 14:41:26.92,0,4918518.4857,-791239.779057,3969689.52383,9.71113014221,3.49227643013,4.90271043777,0,-0.088813635788,-0.00153307735081,-0.0505930575746,1.16070199013,0.417406886816,0.585986018181,0.15000000596,0.0,5
   70,2016-05-31 14:41:27.02,0,4918518.47512,-791239.752312,3969689.49864,9.71141242981,3.49218440056,4.90256023407,0,-0.0637038348104,0.0127092852899,-0.0349432582989,1.16073572636,0.417395859957,0.585968017578,0.15000000596,0.0,5
   71,2016-05-31 14:41:27.12,0,4918527.20461,-791232.471302,3969678.53348,9.63492202759,3.40011715889,4.91120147705,0,-0.0289219759252,0.0239491814605,-0.0283686742259,1.15159344673,0.406391710043,0.587000846863,0.15000000596,0.0,5
   72,2016-05-31 14:41:27.22,0,4918527.17869,-791232.440963,3969678.50539,9.6351890564,3.40002155304,4.91105127335,0,0.00548053813691,0.00434425770209,0.00817265277055,1.15162527561,0.406380295753,0.586982905865,0.15000000596,0.0,5
   73,2016-05-31 14:41:27.32,0,4918527.17596,-791232.447245,3969678.51405,9.63575649261,3.39994502068,4.91100072861,0,0.040423118844,-0.0170396854896,0.0449962133562,1.15169322491,0.406371176243,0.586976826191,0.15000000596,0.0,5
   74,2016-05-31 14:41:27.42,0,4918527.16912,-791232.434951,3969678.49932,9.63601398468,3.39984321594,4.91082668304,0,-0.0950863638536,0.046386965244,-0.0310065584399,1.1517239809,0.406358987093,0.58695602417,0.15000000596,0.0,5
   75,2016-05-31 14:41:27.52,0,4918527.18016,-791232.440039,3969678.51443,9.63627243042,3.39975523949,4.91067409515,0,-0.0320229481458,-0.0271782985919,0.0239072257846,1.15175485611,0.406348466873,0.586937844753,0.15000000596,0.0,5
